Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Edstart Specialist Education Limited,45370,10700
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Nobilis Care West Limited,45322,10681.68
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Xerox (UK) Ltd,45307,10643
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Electricity,EDF Energy Ltd,45376,10636.14
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Beal Vale Primary School,45377,10632
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Northmoor Academy (The Harmony Trust Ltd),45349,10588.05
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45322,10584
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Howarth Housing Group Ltd,45308,10578
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Bloom Procurement Services Ltd,45323,10560
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Bloom Procurement Services Ltd,45323,10560
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Personal Budgets,PERSONAL DETAILS REDACTED,45306,10538
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,Trafford Council,45329,10520.65
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Professional Fees,Sanctuary Trust Ltd,45336,10500
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45378,10500
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Early Break,45331,10500
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Early Break,45376,10500
People,Children´s Services,Children´s Social Care,Children´s Services Intergration,Services - Professional Fees,Tile Hill Interim & Executive Ltd,45370,10500
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Clare Lodge,45364,10500
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45302,10496.16
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Early Years Provision Ltd T/A Ladybirds Educational Nursery Ltd,45349,10438.72
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Spare Parts,Fleet Factors Ltd,45343,10422.41
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Fees - Other,Turner & Townsend Group Limited,45372,10387.34
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Baytree Park Private Day Nursery,45349,10383.45
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45364,10350
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,MDR Automatic Doors,45373,10345
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Esland Care,45294,10335.45
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45301,10322
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Friezland Pre School,45349,10303.01
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Connect Cars UK Ltd,45300,10296
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,The Chadderton Preparatory Grammar School,45329,10280
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45320,10270.51
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Giggle And Grow Ltd Glodwick,45349,10270.23
Place,Economy,Economy,Estates,Services - Payments To Contractors,New Image (Public Relations) Ltd,45329,10250
People,Children´s Services,Schools,Schools,Additional grant for Schools,Blackshaw Lane Academy,45377,10237.38
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,Nobilis Care West Limited,45322,10218.04
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Services - Professional Fees,4C Strategies,45364,10175
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Edstart Specialist Education Limited,45313,10167
People,Community Health and Adult Social Care,Community Health & Social Care,Community Health & Social Care,Independent Residential Care,Oaklands Rest Home Ltd,45327,10155
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Electricity,EDF Energy Ltd,45341,10143.15
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Connect Cars UK Ltd,45357,10138
Place,Environmental Services,Environmental Services,Street Lighting,Operational Materials,Christmas Plus Ltd,45373,10119.54
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Bloom Procurement Services Ltd,45355,10080
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Consumables,Millgate Computer Systems Ltd,45316,10068
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Teenage Kicks Limited,45364,10051.62
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Electricity,EDF Energy Ltd,45341,10022.77
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Services - Professional Fees,Oldham Community Leisure Ltd,45350,10011.03
People,Children´s Services,Children´s Social Care,Children in Care,Services - Professional Fees,Adoption Matters North West,45328,10000
People,Children´s Services,Children´s Social Care,Children in Care,Services - Professional Fees,Adoption Matters North West,45337,10000
Place,Youth & Communities,Community Services,Community Safety,Services - Professional Fees,Solon Security Ltd,45378,10000
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Subscriptions,Home Start Oldham Ltd,45331,10000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,POINT Parents of Oldham in Touch,45363,10000
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Services - Professional Fees,Action Together CIO,45373,10000
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Fees - Private Architect,Bloom Procurement Services Ltd,45299,10000
Place,Economy,Economy,Facilities Management,Services - Professional Fees,HM Courts & Tribunals Service Traffic Enforcement Centre,45322,10000
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,FutureServ,45358,10000
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,FutureServ,45358,10000
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,FutureServ,45358,10000
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,FutureServ,45372,10000
People,Children´s Services,Schools,Schools,Additional grant for Schools,Blackshaw Lane Academy,45377,9995
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Mossley Private Hire Ltd,45357,9990
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AI Digital Limited,45337,9975
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,CMS Contracts (UK) Ltd,45366,9965
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,CIVWAY Ltd,45303,9950
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Appledore Private Day Nursery Ltd,45349,9906.6
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AI Digital Limited,45307,9900
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Oxygen Finance Ltd,45302,9885.35
Place,Economy,Economy,Estates,Premises Service Charges,The Regenda Group,45322,9885
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45308,9875
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45320,9866.66
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Turner & Townsend Group Limited,45301,9857.13
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Thomasson Memorial School,45337,9800
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Clare Lodge,45355,9800
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Clare Lodge,45376,9800
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,Synectics Security Limited,45330,9793.75
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45301,9762
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Xoom X Ltd,45364,9760
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45301,9755
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Cripps Builders,45359,9750
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Limited,45337,9721.65
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45324,9707.81
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,PERSONAL DETAILS REDACTED,45317,9690.67
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Xoom X Ltd,45336,9673.5
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45330,9660
