,Transparency Report November 2023,,,,,,,
Stoke City Council,4HRADRC,Housing Development and Regen Capital,QXWBC,Works,45252,SOT1010124,EQUANS,913324.56
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003876,ESLAND NORTH LTD,18821.43
Stoke City Council,4HLMISC,Holding Acc Miscellaneous,DE100,Services,45233,SOT1001817,Esprit Multi Academy Trust,1500
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002314,Evergreen Foster Care,22456.519999999997
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012322,Evergreen Foster Care,22456.519999999997
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003247,Every Sensation Care Ltd,9255
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011158,Every Sensation Care Ltd,9255
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45252,SOT1009188,Evidence Matters Limited,1414
Stoke City Council,4SCHL,Schools,DE105,Services,45252,SOT1009206,E-Volve Technologies Support,624
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003885,Excel Escort Solutions,24335
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003882,EXCEPTIONAL CARE LIMITED,26505
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003883,EXCEPTIONAL CARE LIMITED,26505
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003922,EXCEPTIONAL CARE LIMITED,25650
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45238,SOT1001563,Facultatieve Technologies Limited,2200.05
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45238,SOT1001564,Facultatieve Technologies Limited,-773.23
Stoke City Council,4PUBH,Public Health,DA100,Equipment  furniture and mater,45238,SOT1001582,Facultatieve Technologies Limited,-815.62
Stoke City Council,4STAR,Strategy & Resources,BA100,Repairs alterations mtce of bu,45238,SOT0999886,Facultatieve Technologies Limited,965.55
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002313,Families First Fostering Ltd,70523.75
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002297,Family Care Fostering Ltd,6853.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012308,Family Care Fostering Ltd,6853.64
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012188,Family Care Residential,15570.86
Stoke City Council,4CAF,Children and Family Services,DA144,Equipment  furniture and mater,45259,SOT1002780,Family Links,648
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002316,FamilyPLacement Ltd,8692.2
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012324,FamilyPLacement Ltd,8692.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003144,Farmhouse Rest Home,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011050,Farmhouse Rest Home,1200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003225,Ferndown Manor,2637.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011136,Ferndown Manor,2637.44
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXCGR,Grant Payments,45233,SOT1001908,Fernlaw Properties Ltd,542.08
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45233,SOT1001283,Fichtner Consulting Engineers Ltd,750
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45238,SOT1002851,Fichtner Consulting Engineers Ltd,4256.16
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45254,SOT1010897,Fichtner Consulting Engineers Ltd,750
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001875,Fieldhouse Day Care Nursery Ltd,746.95
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45240,SOT1003058,Firow Limited,3300
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45243,SOT1003667,Firow Limited,4136
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45252,SOT1010526,Firow Limited,-1176.47
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45252,SOT1010527,Firow Limited,1176.47
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003896,First 4 Children Ltd,48227.14
Stoke City Council,4CAF,Children and Family Services,CC124,Contract hire&operating leases,45240,SOT1002935,First Potteries Limited,37809.9
Stoke City Council,4CAF,Children and Family Services,CC124,Contract hire&operating leases,45245,SOT1007556,First Potteries Limited,19883.6
Stoke City Council,4HDG,"Housing, Development & Growth",DA139,Equipment  furniture and mater,45247,SOT1008438,First Potteries Limited,240098
Stoke City Council,4HLCITY,Holding Acc City Renewal ,DE250,Services,45231,SOT0992156,First Potteries Limited,53888.5
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002305,Five Rivers Child Care Limited,8161.21
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012315,Five Rivers Child Care Limited,6793.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003196,Florence House,1390
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011104,Florence House,1390
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003196,Florence House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011104,Florence House,1300
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003196,Florence House,7800
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011104,Florence House,7800
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003196,Florence House,-1390
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011104,Florence House,-1390
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003238,Flower Park Care Home,1431.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011149,Flower Park Care Home,1431.28
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45254,SOT1011586,Flyaway Airport Services,3360
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002288,Flying Colours Foster Care Ltd,7560
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012301,Flying Colours Foster Care Ltd,7560
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001376,Foresight Clinical Services Ltd,1492.8
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003168,Foresight Residential Ltd,2521.44
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011075,Foresight Residential Ltd,2521.44
Stoke City Council,4CAF,Children and Family Services,EA147,Independent units within CC,45244,SOT1003898,Forward Footsteps Ltd,40967.16
Stoke City Council,4ASCHIWC,ASC Health Int & Wellb Capital,QXWLC,Works,45259,SOT1012470,Fosse Contracts Limited,8413.66
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002278,Foster Care Associates Ltd,9598.08
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002279,Foster Care Associates Ltd,91646.79000000001
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012297,Foster Care Associates Ltd,9598.08
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45236,SOT1002278,Foster Care Associates Ltd,3554.8
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45236,SOT1002279,Foster Care Associates Ltd,7297.84
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45259,SOT1012297,Foster Care Associates Ltd,3554.8
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002287,Fostering People Ltd,36433.04000000001
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000118,Fostering Solutions Ltd,76692.63999999997
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002283,Fostering Solutions Ltd,76813.63999999997
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000122,Foundation Fostering Ltd,10657.25
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002307,Foundation Fostering Ltd,9746.48
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45259,SOT1012316,Foundation Fostering Ltd,9746.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003191,Four Seasons Health Care T/A Park Lane Care Home,9048.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011100,Four Seasons Health Care T/A Park Lane Care Home,9048.5
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003191,Four Seasons Health Care T/A Park Lane Care Home,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011100,Four Seasons Health Care T/A Park Lane Care Home,2600
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003191,Four Seasons Health Care T/A Park Lane Care Home,-638.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011100,Four Seasons Health Care T/A Park Lane Care Home,-638.3
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45239,SOT1003191,Four Seasons Health Care T/A Park Lane Care Home,-546.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45253,SOT1011100,Four Seasons Health Care T/A Park Lane Care Home,-546.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45247,SOT1008222,REDACTED - Personal Data,2013.1
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG115,Other establishments,45236,SOT1002099,Freeways Ltd,3859.68
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003179,Freeways Ltd,2242.52
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011086,Freeways Ltd,2242.52
Stoke City Council,4CAF,Children and Family Services,DB104,Catering,45244,SOT1003848,Freshview,30889.699999999997
Stoke City Council,4CAF,Children and Family Services,DB104,Catering,45259,SOT1012258,Freshview,26235.22
Stoke City Council,4CAF,Children and Family Services,de113,Services,45247,SOT1007803,Furry Friends Therapy CIC,960
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45231,SOT1000121,Fusion Fostering,8319.77
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45236,SOT1002304,Fusion Fostering,9450.16
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45233,SOT1001881,Future Flyers Nursery,1200
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45238,SOT1002481,Future Flyers Nursery,858.92
Stoke City Council,4CAF,Children and Family Services,de113,Services,45259,SOT1012130,Future Flyers Nursery,1200
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45254,SOT1011650,FVB District Energy UK Ltd,668.75
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45231,SOT0996723,G B Recruitment,1110
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45238,SOT0996724,G B Recruitment,1110
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45245,SOT0999735,G B Recruitment,1110
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45252,SOT1002988,G B Recruitment,1110
Stoke City Council,4SCHL,Schools,AA700,Agency staff,45252,SOT1002989,G B Recruitment,2855
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45231,SOT0999358,G B Recruitment,1875
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45238,SOT1002446,G B Recruitment,1875
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45245,SOT1002447,G B Recruitment,1260
Stoke City Council,4SCHL,Schools,AA713,Agency staff,45252,SOT1009208,G B Recruitment,969
Stoke City Council,4STARC,Strategy & Resources Capital,QXWBE,External Fees,45240,SOT1002977,G Ryder & Co Limited,3121.6
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45240,SOT1003565,G2V Recruitment Group Ltd t/a Vivid Resourcing,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45247,SOT1004983,G2V Recruitment Group Ltd t/a Vivid Resourcing,2000
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AA700,Agency staff,45247,SOT1008012,G2V Recruitment Group Ltd t/a Vivid Resourcing,2000
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45231,SOT1000999,Galliford Try Construction Ltd t/a GT Highways,72001.47
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45231,SOT1001000,Galliford Try Construction Ltd t/a GT Highways,1800.04
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45231,SOT1001136,Galliford Try Construction Ltd t/a GT Highways,150901.2
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45231,SOT1001137,Galliford Try Construction Ltd t/a GT Highways,3772.53
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45247,SOT1007788,Galliford Try Construction Ltd t/a GT Highways,108243.16
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45252,SOT1010789,Galliford Try Infrastructure t/a Morrison Highway,32100.25
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",qxwnc,Works,45259,SOT1012478,Galliford Try Infrastructure t/a Morrison Highway,151858.22
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45231,SOT1001061,Gap Group Ltd,604.7
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45257,SOT1008815,Gap Group Ltd,633.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,AB400,Advertising ,45247,SOT1007846,Gatenby Sanderson Ltd,2820
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45238,SOT0997318,Gateway Psychology Ltd,975
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997287,Gateway Psychology Ltd,712.5
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997288,Gateway Psychology Ltd,787.5
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997291,Gateway Psychology Ltd,525
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997295,Gateway Psychology Ltd,525
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997304,Gateway Psychology Ltd,525
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997309,Gateway Psychology Ltd,1050
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997312,Gateway Psychology Ltd,1200
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997315,Gateway Psychology Ltd,712.5
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997322,Gateway Psychology Ltd,675
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997324,Gateway Psychology Ltd,1650
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45254,SOT0997655,Gateway Psychology Ltd,2615
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45259,SOT1009231,Gateway Psychology Ltd,637.5
