Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
SUPPORTIVE SRC LTD,57716457,28/08/2024,"3,591.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
SUPPORTIVE SRC LTD,57715201,12/08/2024,"4,746.42",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
SUPPORTIVE SRC LTD,57715201,12/08/2024,"1,039.50",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
SWIIS FOSTER CARE LTD,57715186,12/08/2024,"3,274.02",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
SWIIS FOSTER CARE LTD,57715187,12/08/2024,"11,562.20",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
SWIIS FOSTER CARE LTD,57715187,12/08/2024,"3,838.57",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
SWIIS FOSTER CARE LTD,57715188,12/08/2024,"7,937.49",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
TACT NORTH EAST,57715189,12/08/2024,"16,564.79",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
TEAM FOSTERING NORTH EAST,57715190,12/08/2024,"3,116.37",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
TEAM FOSTERING NORTH EAST,57715191,12/08/2024,"3,927.36",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
TEAM FOSTERING NORTH EAST,57715191,12/08/2024,"4,422.42",Maintenance Fee - Long Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
THE OPEN CARE GROUP LIMITED,57715155,12/08/2024,"8,600.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
THE OPEN CARE GROUP LIMITED,57715176,12/08/2024,"2,200.00",Maintenance Fee - Supporting Independence,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
THOMAS HOPE,57714393,05/08/2024,608,Individual Direct Payments,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
THROUGHCARE HOUSING & SUPPORT,57715144,12/08/2024,"2,421.52",Maintenance Fee - Supporting Independence,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
TINY TURNERS NURSERY,55579815,01/08/2024,"1,650.66",Childcare Costs,SUPPLIES & SERVICES,EXPENSES
TOAST PROPERTIES,55579668,27/08/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
TOAST PROPERTIES,55578757,29/07/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
TOAST PROPERTIES,55579184,08/07/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
TOAST PROPERTIES,55578479,08/07/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
TOAST PROPERTIES,55580215,26/08/2024,630,Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
TOAST PROPERTIES,55579277,13/08/2024,"2,520.00",Childrens Social Care,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
UNITY FOSTER CARE,57715194,12/08/2024,"9,724.64",Maintenance Fee - Short Term IFA,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WE CARE BESPOKE LTD,57716502,01/08/2024,"1,600.95",Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WE CARE BESPOKE LTD,57714292,30/06/2024,913.05,Day Care - Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
WITHERSLACK HALL SCHOOL LTD,57715195,12/08/2024,"18,504.13",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WITHERSLACK HALL SCHOOL LTD,57715196,12/08/2024,"26,054.16",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WITHERSLACK HALL SCHOOL LTD,57715197,12/08/2024,"20,510.08",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WITHERSLACK HALL SCHOOL LTD,57715198,12/08/2024,"37,088.60",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WITHERSLACK HALL SCHOOL LTD,57715199,12/08/2024,"21,267.40",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
WITHERSLACK HALL SCHOOL LTD,57715200,12/08/2024,"25,054.60",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
YOUR CHAPTER LTD,57715174,12/08/2024,"24,000.00",Maintenance Fee - Residential,THIRD PARTY PAYMENTS,OTHER ESTABLISHMENTS
700 CLUB,11163265,05/08/2024,"2,872.56",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
700 CLUB,11163266,05/08/2024,"15,906.04",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
700 CLUB,11163267,05/08/2024,"1,047.20",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
ANDREW OLIVER,55579646,31/07/2024,500,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
AR ENTERTAINMENTS,55578539,22/07/2024,745,Hospitality & Room Hire,SUPPLIES & SERVICES,EXPENSES
ASH TRAINING LTD,55578268,15/07/2024,750,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
CLAIRE ELLIOTT,55579977,02/08/2024,570,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
CREATIVE SUPPORT LIMITED,11163278,05/08/2024,"7,323.20",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON ASSOCIATION ON DISABILITY LTD,55579638,31/07/2024,"28,730.44",Advocacy,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON CITIZEN ADVICE BUREAU,11163269,05/08/2024,"3,951.68",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON CITIZEN ADVICE BUREAU,11163268,05/08/2024,"3,075.20",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
DARLINGTON YMCA FOYER,11163270,05/08/2024,"25,735.16",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FAMILY ACTION,11163271,05/08/2024,"7,357.16",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FAMILY HELP NO 2 ACCOUNT,11163272,05/08/2024,"6,413.64",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FAMILY HELP NO 2 ACCOUNT,11163273,05/08/2024,"2,146.28",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FOUNDATION CENTRAL SERVICES,11163274,05/08/2024,"12,634.28",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
FOUNDATION CENTRAL SERVICES,11163275,05/08/2024,"10,718.68",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HARBOUR,11163279,05/08/2024,"7,156.88",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HARBOUR,11163281,05/08/2024,"9,917.44",Voluntary Associations,THIRD PARTY PAYMENTS,VOLUNTARY ASSOCIATIONS
HARBOUR,11163280,05/08/2024,"2,550.96",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HEALTHWATCH DARLINGTON,11163276,05/08/2024,"5,884.84",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUMANKIND FORMERLY DISC,11163282,05/08/2024,"11,472.48",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
HUMANKIND FORMERLY DISC,11163283,05/08/2024,"9,568.08",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
JUST CLIMB,55580033,05/08/2024,600,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
KEYRING LIVING SUPPORT NETWORK,11163277,05/08/2024,"3,629.08",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KIM HENDERSON,11163297,08/08/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LITTLE TREASURES,55578540,22/07/2024,"1,095.00",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
LITTLE TREASURES,55578542,22/07/2024,500,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
LITTLE TREASURES,55578543,22/07/2024,650,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
LITTLE TREASURES,55578544,22/07/2024,750,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,786.3,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,750.23,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,786.28,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MARTIN GRAY FOOTBALL ACADEMY LTD,55578688,03/06/2024,"3,533.02",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MISS CHLOE S R BOOCOCK,11163296,08/08/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MRS S M HUTCHINSON,11163295,08/08/2024,"1,322.20",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
N GAGE LEARNING GROUP,55578774,24/07/2024,"2,790.00",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
SARAH STABLER - PEARTREE HILL TEA ROOM AND CAFE,55578988,12/08/2024,872.95,Hospitality & Room Hire,SUPPLIES & SERVICES,EXPENSES
THE EDUCATION VILLAGE ACADEMY TRUST,55579258,29/07/2024,"33,605.10",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
THE PASTA SHOP DARLINGTON LTD,55579636,31/07/2024,"2,000.00",Hospitality & Room Hire,SUPPLIES & SERVICES,EXPENSES
WHEEL EDUCATION,55578723,26/07/2024,"1,120.00",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,864.95,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,"1,153.27",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,823.82,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,"1,373.03",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,"1,441.59",Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,864.95,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
POLICY IN PRACTICE,55578650,23/07/2024,"2,500.00",Projects,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
1590 TRUST - CONYERS SCHOOL,1112968,19/08/2024,591,Agency Staff Costs - Teachers,EMPLOYEES,Indirect Employee Costs
1AB TAXIS LTD,55578797,25/07/2024,"1,128.60",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
1AB TAXIS LTD,55578798,25/07/2024,"2,501.72",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
1AB TAXIS LTD,55578795,25/07/2024,"1,190.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
24 x 7 LTD,55579700,31/07/2024,"1,313.93",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
ADVANCE LEARNING PARTNERSHIP,55578284,18/07/2024,"25,344.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
ALD GROUP,11163366,19/08/2024,"6,545.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
ALD GROUP,11163595,29/08/2024,"1,220.90",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ALD GROUP,11163602,29/08/2024,"9,203.95",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ALL SAINTS BLACKWELL PRE SCHOOL,11163430,27/08/2024,"2,234.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALL SAINTS BLACKWELL PRE SCHOOL,11163431,27/08/2024,"15,990.66",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11163526,27/08/2024,"9,576.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11163527,27/08/2024,"7,614.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ALLYSON TODD,11163525,27/08/2024,"8,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
ARRIVA NORTH EAST LIMITED,55578056,19/07/2024,"1,890.00",Student Support,SUPPLIES & SERVICES,SERVICES
ASHBROOKE SCHOOL (A DIVISION OF WITHERSLACK GROUP LTD),11163600,29/08/2024,"1,840.79",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ASHBROOKE SCHOOL (A DIVISION OF WITHERSLACK GROUP LTD),11163593,29/08/2024,702.42,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ASHBROOKE SCHOOL (A DIVISION OF WITHERSLACK GROUP LTD),11163357,19/08/2024,"1,785.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
ASPRIS CHILDRENS SERVICES,11163365,19/08/2024,"2,975.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
ASPRIS CHILDRENS SERVICES,11163604,29/08/2024,"5,522.35",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ASPRIS CHILDRENS SERVICES,11163597,29/08/2024,873.55,Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ASSOCIATION OF EDUCATIONAL PSYCHOLOGISTS,55578090,18/07/2024,700,Recruitment Advertising,EMPLOYEES,Indirect Employee Costs
BLUE CABIN CIO,55579278,02/04/2024,"9,000.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
BROADWAY DAYCARE,11163436,27/08/2024,"21,000.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11163437,27/08/2024,"9,576.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11163438,27/08/2024,"19,152.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
BROADWAY DAYCARE,11163440,27/08/2024,"28,282.80",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
CAMBIAN AUTISM SERVICES LIMITED,11163362,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
CAPITA PENSION SOLUTIONS LIMITED,55578844,30/06/2024,510.04,Pension Increase Pay,EMPLOYEES,Indirect Employee Costs
CLAIRE FLOWERS,11163541,27/08/2024,"3,192.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
CLAIRE FLOWERS,11163542,27/08/2024,"2,175.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
COMPASS ROYSTON TRAVEL LTD,55577955,16/07/2024,"2,400.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
COOL MILK AT SCHOOL,1112947,19/08/2024,532.98,Milk - Nursery Education,SUPPLIES & SERVICES,CATERING
COOL MILK AT SCHOOL,1112949,19/08/2024,629.37,Milk - Nursery Education,SUPPLIES & SERVICES,CATERING
CORONA ENERGY LTD,57716371,15/08/2024,776.62,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716336,15/08/2024,704.91,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716340,15/08/2024,960.56,Gas,PREMISES,ENERGY COSTS
COSY,1112994,19/08/2024,738.99,Early Years - Reception,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CUMBERLAND SCHOOL- A DIVISION OF WITHERSLACK GROUP LTD,11163368,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
DANESMOOR HOUSE DAY NURSERY,11163442,27/08/2024,"46,200.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11163443,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11163444,27/08/2024,"30,324.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DANESMOOR HOUSE DAY NURSERY,11163445,27/08/2024,"54,027.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11163446,27/08/2024,"14,700.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11163447,27/08/2024,"15,960.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11163448,27/08/2024,"15,827.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11163449,27/08/2024,"25,871.51",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DARLINGTON COLLEGE,11163385,20/08/2024,910,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
DAWSON RENTALS BUS & COACH LTD,55579813,01/08/2024,"1,682.97",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55579814,01/08/2024,"2,920.03",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55579814,01/08/2024,"2,920.03",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DAWSON RENTALS BUS & COACH LTD,55579814,01/08/2024,"2,920.03",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DELTA COACHES LTD,55577466,28/06/2024,"5,700.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
DELTA COACHES LTD,55578037,19/07/2024,"2,250.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
DELTA COACHES LTD,55578136,19/07/2024,"4,275.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
EASTBOURNE PRE-SCHOOL,11163497,27/08/2024,"14,364.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EASTBOURNE PRE-SCHOOL,11163498,27/08/2024,"6,384.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EASTBOURNE PRE-SCHOOL,11163499,27/08/2024,"16,824.64",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
EDUCATION SOFTWARE SOLUTIONS LTD,55579920,03/08/2024,"19,607.00",Ict Software Support & Maintenance,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
FEDERATION MOWDEN  SCHOOL(ACADEMY TRUST),55577941,17/07/2024,775,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
FIRTHMOOR PRIMARY SCHOOL,55578812,24/07/2024,775,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
FLEX SPACE,55579460,16/08/2024,"1,262.16",Rent Of Facilities,PREMISES,RENTS
FLEX SPACE,55579462,01/09/2024,"1,262.16",Rent Of Facilities,PREMISES,RENTS
GILLIAN BROWN,11163565,27/08/2024,"6,300.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HARTWELL SCHOOL (WITHERSLACK GROUP),11163369,19/08/2024,595,Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
HARTWELL SCHOOL (WITHERSLACK GROUP),11163361,19/08/2024,"7,140.00",Other Funds Delegated By The LA,NON-BUDGETED,NON BUDGETED
HARTWELL SCHOOL (WITHERSLACK GROUP),11163596,29/08/2024,"2,503.48",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
HARTWELL SCHOOL (WITHERSLACK GROUP),11163603,29/08/2024,"11,044.73",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
HELEN ROBSON,11163547,27/08/2024,"2,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HELEN ROBSON,11163548,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
HELEN ROBSON,11163549,27/08/2024,"1,849.26",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11163450,27/08/2024,"54,810.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11163451,27/08/2024,"3,192.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11163452,27/08/2024,"21,173.60",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
I MAILE T/A FLORA HOUSE NURSERY,11163454,27/08/2024,"21,393.40",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
IAN NOTMAN,55578510,19/07/2024,"2,090.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
IAN NOTMAN,55578512,19/07/2024,788.4,Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578513,19/07/2024,"1,200.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578514,19/07/2024,"1,190.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578515,19/07/2024,"1,754.40",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578516,19/07/2024,"1,300.16",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578531,19/07/2024,"1,913.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IAN NOTMAN,55578532,19/07/2024,"1,088.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
IN MIND PSYCHOLOGY LTD,1112963,19/08/2024,"3,800.00",Education Psychologist SLA,Non Resource Allocation,CENTRAL SUPPORT SERVICES
IT SYSTEMS & SUPPORT LIMITED,1112971,19/08/2024,749,Licences Sla,Non Resource Allocation,CENTRAL SUPPORT SERVICES
J & C COACHES LTD,55578123,19/07/2024,"2,092.50",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578124,19/07/2024,"3,000.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578125,19/07/2024,"2,997.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578126,19/07/2024,"2,235.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578128,19/07/2024,"3,150.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578129,19/07/2024,"3,300.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578130,19/07/2024,"3,300.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
J & C COACHES LTD,55578131,19/07/2024,"3,300.00",Contract Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
JENIFER THOMPSON,11163562,27/08/2024,"2,100.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
JENIFER THOMPSON,11163563,27/08/2024,"1,596.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
JENIFER THOMPSON,11163564,27/08/2024,"3,192.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAJIMA DARLINGTON SCHOOLS LTD,55579177,08/07/2024,"427,322.24",Private Contractors,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
KAJIMA DARLINGTON SCHOOLS LTD,55580373,19/08/2024,"4,917.80",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
KAJIMA DARLINGTON SCHOOLS LTD,55579478,14/08/2024,"29,372.50",Catering Payments,SUPPLIES & SERVICES,CATERING
KAJIMA DARLINGTON SCHOOLS LTD,55579478,14/08/2024,"1,435.52",Hospitality & Room Hire,SUPPLIES & SERVICES,EXPENSES
KAJIMA DARLINGTON SCHOOLS LTD,55579478,14/08/2024,"8,110.00",School Staff Meals,SUPPLIES & SERVICES,CATERING
KAJIMA DARLINGTON SCHOOLS LTD,55579478,14/08/2024,"11,040.00",Catering Payments,SUPPLIES & SERVICES,CATERING
KAREN DAVISON CHILDMINDER,11163582,27/08/2024,525,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163583,27/08/2024,525,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163584,27/08/2024,525,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163585,27/08/2024,525,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163586,27/08/2024,798,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163587,27/08/2024,798,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163588,27/08/2024,798,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KAREN DAVISON CHILDMINDER,11163589,27/08/2024,798,Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KATY STEPHENSON,11163613,29/08/2024,"6,300.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
KATY STEPHENSON,11163614,29/08/2024,"1,885.52",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
LEARNING TRADES LIMITED,55579435,02/07/2024,878.4,Course Purchase,SUPPLIES & SERVICES,SERVICES
LITTLE  LODGES,11163532,27/08/2024,"8,400.00",Nursery Funding,TRANSFER PAYMENTS,SCHOOL CHILDREN & STUDENTS
