DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,609.71","1,609.71",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,610.73","1,610.73",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,432.28","2,432.28",Central OP (Over 65) LD - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,610.73","1,610.73",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"3,445.96","3,445.96",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"1,216.14","1,216.14",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,753.10","1,753.10",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,093.80","2,093.80",West/South MH Memory Support (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"1,541.06","1,541.06",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,753.10","1,753.10",Agency Fostering,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,610.73","1,610.73",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,271.04","2,271.04",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,146.29","2,146.29",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,642.86,642.86,Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,271.04","2,271.04",Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,185.71","2,185.71",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,009.14","2,009.14",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,895,895,East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,895,895,East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"2,238.08","2,238.08",West/South MH Support Adults (under 65) - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,271.04","2,271.04",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"1,506.86","1,506.86",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,771.43,771.43,Central OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"2,432.28","2,432.28",Central/East MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MANOR FIELDS,02/05/2023,3520,955.54,955.54,West OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,KIWI HOUSE,02/05/2023,3873,"1,708.96","1,708.96",West OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,501.10","2,501.10",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,KIWI HOUSE,02/05/2023,3873,"2,432.28","2,432.28",West OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,729.98,729.98,Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,297.97","2,297.97",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MANOR FIELDS,02/05/2023,3520,729.98,729.98,West OP (over 65) Memory - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,AGINCARE DERBY LIMITED,02/05/2023,4095,"1,790.00","1,790.00",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"1,216.14","1,216.14",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,501.10","2,501.10",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"1,361.24","1,361.24",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,297.97","2,297.97",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"1,589.72","1,589.72",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,PARALLEL PARENTS,02/05/2023,3590,"2,297.97","2,297.97",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"2,432.28","2,432.28",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MANOR FIELDS,02/05/2023,3520,"1,216.14","1,216.14",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,260.48","1,260.48",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,KIWI HOUSE,02/05/2023,3873,"1,115.12","1,115.12",South OP (under 65) Mental Health - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MANOR FIELDS,02/05/2023,3520,"2,432.28","2,432.28",Central OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,475.45","1,475.45",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,KIWI HOUSE,02/05/2023,3873,"2,432.28","2,432.28",South OP (under 65) Mental Health - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"1,459.95","1,459.95",East OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MOUNT CARMEL HOUSE,02/05/2023,3522,"1,041.96","1,041.96",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,566.22","1,566.22",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"1,291.47","1,291.47",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MOUNT CARMEL HOUSE,02/05/2023,3522,"1,041.96","1,041.96",West OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"2,297.69","2,297.69",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MOUNT CARMEL HOUSE,02/05/2023,3522,"2,432.28","2,432.28",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,475.45","1,475.45",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"1,216.14","1,216.14",East OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,475.45","1,475.45",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,MOUNT CARMEL HOUSE,02/05/2023,3522,"2,432.28","2,432.28",West OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,566.22","1,566.22",Agency Fostering,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,566.22","1,566.22",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"1,042.41","1,042.41",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,MOUNT CARMEL HOUSE,02/05/2023,3522,"2,432.28","2,432.28",West OP (over 65) Memory - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,359.77","1,359.77",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,"1,040.45","1,040.45",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"2,922.86","2,922.86",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"1,329.25","1,329.25",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,MOUNT CARMEL HOUSE,02/05/2023,3522,"1,461.64","1,461.64",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,680.64","1,680.64",Agency Fostering,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"2,432.28","2,432.28",East OP (Over 65) Physical - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"1,939.93","1,939.93",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ROYAL MANOR NURSING HOME,02/05/2023,3527,"2,497.68","2,497.68",West/South MH Support OP (over 65) - R/N,,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Agency Placements,ANCHOR FOSTER CARE,02/05/2023,3903,"2,234.49","2,234.49",Agency Fostering,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,ROYAL MANOR NURSING HOME,02/05/2023,3527,"2,497.68","2,497.68",West/South MH Support OP (over 65) - R/N,,SME
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,KIWI HOUSE,02/05/2023,3873,"2,067.72","2,067.72",South OP (Over 65) Physical - R/N,,SME
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,ROYAL MANOR NURSING HOME,02/05/2023,3527,"1,919.04","1,919.04",Central OP (over 65) Mental Health - R/N,,SME
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,KIWI HOUSE,02/05/2023,3873,811.09,811.09,Central/East MH Support OP (over 65) - R/N,,SME
