Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount Supplier Name,,Payment Date,,
Operational Support,Supplies & Services,Other Expenses,Dogs - Kennel Purchase & Maint,"1,295.00",The Pet Studio,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,1.59,Corporate Support HQ Imprest,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,496.80,R3 Safety and Rescue Limited,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,0.20,South Gloucestershire Council,24/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Capital Charges,Forensic Science Services,672.04,Abbott Toxicology Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"2,668.78",Tangible Benefit Limited,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Planned Repair & Maintenance,Planned Maintenance - Building Fabric,"3,970.00",Avon Armour Limited,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Licences & Orders,"1,832.10",NLA Media Access Limited,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Transport,Vehicle Allowances,Travel fares,100.58,PCC for Devon & Cornwall,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"3,992.93",Forensic Psychology Services,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,800.80,Cary Uk Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Services,Capital Charges,Capital Charges,Construction & Conversion Fees,"7,340.00",Bureau Veritas UK Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,580.15,Fuchs Lubricants (UK)) Plc,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,935.56,GOODYEAR TYRES UK LTD,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"18,563.53",Renault Truck Commercials Ltd,31/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Operational Support,Transport,Vehicle Hire,Hired Vehicle Costs,446.88,Enterprise Rent a Car UK Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,,-0.28  Systems Technology Consultants Ltd,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Employees,Police Staff Pay & Allowances,"Police Staff - Basic Pay, NI & Pension","9,953.22",PCC for Dorset,21/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Employees,Police Pay & Allowances,Police PC - NI & Pension,"22,854.93",PCC for Gloucestershire,17/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Communications & Computing,Software - Purchases (S&M),824.00,Home Office Shared Service Centre,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Courses Fees,"2,669.00",College of Policing Ltd,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,"9,017.00",ORACLE CORPORATION UK LTD,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,650.00,David James & Partners,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"5,854.08",Laerdal Medical Limited,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Communications & Computing,Hardware - R&M,"9,389.00",Peninsula Pensions,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Cleaning Charges,"89,133.28",Sodexo Limited,31/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Capital Charges,Capital Charges,ICT Equipment Purchase,,"2,250.00 Modis International Limited t/a Akk",24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"3,250.00",PA Consulting Services Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Other Expenses,Vet Fees & Supplies,849.46,Quantock Veterinary Hospital Ltd,31/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,"1,000.00",CJS (UK Management) Limited,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment Cleaning & Materials,74.98,Corporate Support HQ Imprest,28/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Cleaning & Domestic Supplies,Clinical Waste Costs,941.45,Citron Hygiene UK Limited,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,800.00,Speciality Oxygen Service Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"24,250.00",The  Workforce Development Trust,17/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"3,000.00",Fonemedia Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicles Purchase,"27,299.59",Volkswagen Group UK Ltd Vehicles,14/10/2024,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Third Party Payments,Other Local Authorities or Forces,Agency Payments - OLAs,"153,099.81",Peninsula Pensions,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Transport,Vehicle Hire,Hired Vehicle Costs,446.88,Enterprise Rent a Car UK Ltd,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"1,878.00",PCC for West Mercia,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,"4,000.00",University of Portsmouth,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,"2,097.18",R J Lifts Group Ltd,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,659.31,SAFETY KLEEN UK LTD,21/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Workshops/Maintenance,Vehicle Workshop,659.31,SAFETY KLEEN UK LTD,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Subsistence & Conference,Subsistence,94.45,PCC for Devon & Cornwall,24/10/2024,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
PCC,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"2,601.90",,14/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Other Expenses,Courses Fees,720.00,KanduIT,03/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"6,826.46",SJ Cook & Sons,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,"1,022.00",LION LABORATORIES LTD,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Courses Fees,600.00,F3 First Forensic Forum,10/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Capital Financing,External Interest,Debt Charges - Interest,"7,280.00",Public Works Loan Board,07/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Unplanned Repair & Maintenance,Reactive Maintenance - Building Services,697.14,Sovereign Fire & Security Ltd,24/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,589.40,Vehicle Accessories Ltd,17/10/2024,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
