Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318672-2686,"£3,000.00",EX626 LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318676-RES-09-2024-475A,"£72,005.00",FERRYHILL TOWN COUNCIL.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,308011,Furniture,27/09/2024,4318682-18523,"£1,738.34",FRANKS THE FLOORING STORE.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,27/09/2024,4318684-104209,"£1,192.00",G & P JOHNSON LTD T/A NIGHTINGALE COACHES.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318692-RES-09-2024-476A,"£86,088.50",GREAT AYCLIFFE TOWN COUNCIL.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,145023,Cleaning and Domestic Supplies,27/09/2024,4318694-06/286023,"£1,024.99",GREENHAM TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,27/09/2024,4318694-06/286104,£544.52,GREENHAM TRADING LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318700-10379,"£1,026.00",HILLCREST AUTO ELECTRICS.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106080,Centrally Controlled Rep and Maint,27/09/2024,4318702-7081093718,"£7,039.39",HONEYWELL NOVAR SYSTEMS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Premises,106080,Centrally Controlled Rep and Maint,27/09/2024,4318702-7081101521,"£7,196.11",HONEYWELL NOVAR SYSTEMS LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318704-RES-09-2024-468A,"£48,190.50",HORDEN PARISH COUNCIL.,,,,,,
Adult and Health Services,Public Health CC0450,Third Party Payments,460802,Contract Payments,27/09/2024,4318706-SI-HK-002813,"£16,117.42",HUMANKIND CHARITY.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,106082,Centrally Controlled Rep and Maint,27/09/2024,4318707-154461,"£2,101.60",HUTCHINSON ENVIRONMENTAL SOLUTIONS LTD.,,,,,,
Regeneration Economy and Growth,Business Durham,Premises,106082,Centrally Controlled Rep and Maint,27/09/2024,4318707-154524,£902.00,HUTCHINSON ENVIRONMENTAL SOLUTIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318709-8836,£500.00,IBA FABRICATIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926004,Stock,27/09/2024,4318710-400056680,"£2,352.92",ICL UK SALES LTD (CLEVELAND POTASH LTD).,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926004,Stock,27/09/2024,4318710-400056681,"£16,010.59",ICL UK SALES LTD (CLEVELAND POTASH LTD).,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318713-CD200347901,"£1,124.80",INTEGRATED WATER SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318713-CD200349188,£900.00,INTEGRATED WATER SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,324117,Provisions E324,27/09/2024,4318717-33980,£669.06,J MORAN LTD T/A CAFFE VINCI.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,324117,Provisions E324,27/09/2024,4318717-34269,£731.52,J MORAN LTD T/A CAFFE VINCI.,,,,,,
Neighbourhoods and Climate Change,Highways,Construction work A908,908105,Construction work,27/09/2024,4318718-29677,"£14,855.38",JACK COUPE & SONS LTD T/A COUPE LINE.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Supplies and Services,304259,Equipment and Materials,27/09/2024,4318723-416592,"£3,730.00",JENX LTD T/A JIRAFFE.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318724-186619,£650.90,JG PAXTON & SONS LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318743-210875A,"£1,687.50",LUCION ENVIRONMENTAL LLP LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,324001,Provisions E324,27/09/2024,4318751-907837014,"£1,305.07",MOLSON COORS BREWING COMPANY (UK) LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318752-RES-09-2024-469A,"£17,812.50",MONK HESLEDEN PARISH COUNCIL.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318757-RES-09-2024-470A,"£19,854.50",MURTON PARISH COUNCIL.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,342053,Computers and Communications,27/09/2024,4318762-SINV000609220,"£11,740.00",NBS ENTERPRISES LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318769-1453922,"£2,119.43",NORTH EAST TRUCK & VAN LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Construction work A908,908105,Construction work,27/09/2024,4318781-4449,"£8,684.00",OS ECOLOGY LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318782-3991,"£17,690.78",PARAMOUNT CEILINGS & PARTITIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,27/09/2024,4318783-XL321759,"£4,237.50",PARK ELECTRICAL DISTRIBUTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,27/09/2024,4318783-XL322620,"£1,140.00",PARK ELECTRICAL DISTRIBUTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,27/09/2024,4318783-XL322621,"£1,321.00",PARK ELECTRICAL DISTRIBUTORS LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318788-RES-09-2024-471A,"£120,190.00",PETERLEE TOWN COUNCIL.,,,,,,
Adult and Health Services,Head of Adults,Supplies and Services,308011,Furniture,27/09/2024,4318792-SI/95110,"£3,644.00",PINEAPPLE CONTRACTS.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304516,Equipment and Materials,27/09/2024,4318795-INV1275723,£977.90,POSTURITE (UK) LTD.,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,27/09/2024,4318796-77003054,"£1,023.07",POTENSIAL LTD T/A POTENS.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318797-183524,"£70,433.00",PREMIER TRAFFIC MANAGEMENT LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318799-16001,"£2,715.78",QUANTUM POWER CONNECTIONS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318799-16002,"£18,153.82",QUANTUM POWER CONNECTIONS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384199,Miscellaneous Expenses,27/09/2024,4318803-DCCBRASS,"£1,000.00",REDHILLS CIO.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318805-2024-364,"£7,094.09",REVINSON FIRE LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318806-407565,£556.48,RICKERBY LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,27/09/2024,4318809-IV1049383,"£3,470.00",RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,27/09/2024,4318809-IV1053837,"£1,670.25",RIVERSIDE TRUCK RENTAL LTD (RTR).,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,340001,Postages E340,27/09/2024,4318812-9071224401,"£21,660.40",ROYAL MAIL GROUP PLC.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318819-RES-09-2024-472A,"£78,612.00",SEAHAM TOWN COUNCIL.,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,336005,Advertising E336,27/09/2024,4318821-24AUGBUS1,"£1,125.00",SECOND DRAFT LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,470103,Purchase of Care,27/09/2024,4318824-GRW366557,£585.70,SHAFTESBURY CARE GROUP LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Third Party Payments,470103,Purchase of Care,27/09/2024,4318824-GRW366559,£819.98,SHAFTESBURY CARE GROUP LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318825-RES-09-2024-478A,"£26,286.00",SHILDON TOWN COUNCIL.,,,,,,
Regeneration Economy and Growth,Economic Development CL0150,Cap Exp on Grants & Other Financial Assistance (REFCUS),918004,Contributions to other bodies 918004,27/09/2024,4318830-VOUCHER24AB-SPEN005,"£17,192.00",ST PAULS (SPENNYMOOR) CENTRE LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230003,Contract Hire,27/09/2024,4318831-521696,"£4,796.38",STAGECOACH SERVICES LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318833-RES-09-2024-481A,"£45,297.00",STANLEY TOWN COUNCIL.*,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430106,Rendered by Private Contractors,27/09/2024,4318834-41113,"£24,030.30",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318834-65754-1008,"£3,820.41",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318834-65754-1131,"£6,937.87",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318834-65754-1132,"£4,216.51",STANLEY TRAVEL (NORTH EAST) LTD.,,,,,,
Chief Executives Office,Communications Management,Supplies and Services,332029,Printing Stationery and Gen Off Exps,27/09/2024,4318835-155409,"£1,298.00",STATEX PRESS (NORTHERN) LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL15/STL24,£606.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL2/STL24,£590.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL3/STL24,£620.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL66/STL24,£826.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL68/STL24,£868.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL7/STL24,£530.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL70/STL24,£686.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL71/STL24,£656.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL72/STL24,£742.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL74/STL24,£756.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL75/STL24,£840.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL76/STL24,£982.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL79/STL24,"£1,616.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL80/STL24,£596.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL83/STL24,£918.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-JUL9/STL24,£540.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP1/STL24,£528.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP12/STL24,£856.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP13/STL24,"£2,100.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP2/STL24,"£1,386.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP25/STL24,£540.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP27/STL24,£690.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP37/STL24,£708.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP38/STL24,"£1,500.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP39/STL24,£670.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP4/STL24,"£1,212.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP41/STL24,£540.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP44/STL24,£732.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP47/STL24,£502.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP5/STL24,£512.00,STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP6/STL24,"£1,130.00",STL CABS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318837-SEP9/STL24,"£1,506.00",STL CABS LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,106082,Centrally Controlled Rep and Maint,27/09/2024,4318838-25650,"£13,963.50",STONE TECHNICAL SERVICES GROUP LTD.,,,,,,
Regeneration Economy and Growth,Business Durham,Premises,106080,Centrally Controlled Rep and Maint,27/09/2024,4318838-25689,"£2,217.60",STONE TECHNICAL SERVICES GROUP LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318838-25743,"£2,814.45",STONE TECHNICAL SERVICES GROUP LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318838-25779,"£1,596.00",STONE TECHNICAL SERVICES GROUP LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,27/09/2024,4318839-51995,"£1,110.20",STONEGRAVE AGGREGATES LTD.,,,,,,
Adult and Health Services,Commissioning inc Supporting People,Transport,240045,Car allowances E240,27/09/2024,4318841-12619,"£2,459.83",SUPPORTIVE SRC LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430106,Rendered by Private Contractors,27/09/2024,4318841-12624,"£7,063.30",SUPPORTIVE SRC LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338089,Services,27/09/2024,4318844-INV-0366,"£10,900.00",THE CARE LEADERS LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318849-1026,£958.00,THE SKILL MILL LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,27/09/2024,4318850-NSIN00119442,"£1,753.43",THOMAS OWEN & SONS (NEWCASTLE) LTD.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318853-RES-09-2024-473A,"£2,852.00",THORNLEY PARISH COUNCIL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,27/09/2024,4318856-MI/0052276/01,"£1,663.64",TP LEASING LTD.*,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,27/09/2024,4318856-MI/0052277/01,"£1,003.75",TP LEASING LTD.*,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,27/09/2024,4318856-MI/0052280/01,"£2,135.29",TP LEASING LTD.*,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230720,Contract Hire,27/09/2024,4318856-MI/0052293/01,£581.51,TP LEASING LTD.*,,,,,,
