Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,308011,Furniture,12-Dec-2024,000010363305610,R DEFTY,5251,Furniture repair and replacement,12.00,0.00,12.00
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Supplies and Services,364320,Grants to Voluntary Organisations,12-Dec-2024,000010363305622,MY PROPERTY BOX LTD,6513,Accommodation assistance,"1,586.00",0.00,"1,586.00"
Children and Young Peoples Services,Head of Childrens Social Care,085511,Emergency Duty Team,Transport,235057,Public Transport,12-Dec-2024,000010363305736,BOOKING.COM,4722,Staff travelling,60.00,0.00,60.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363305824,WM MORRISONS STORE,5411,Catering costs - provisions,4.50,0.00,4.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,12-Dec-2024,000010363305916,TRAVELODGE,3615,Conferencesseminars fees etc,-425.71,0.00,-425.71
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,12-Dec-2024,000010363305936,TRAVELODGE,3615,Conferencesseminars fees etc,-683.48,0.00,-683.48
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363544594,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,1.80,0.00,1.80
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363544596,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,170.62,0.00,170.62
Regeneration Economy and Growth,Culture Sport and Tourism,054235,Bishop Auckland Town Hall Cafe,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363544604,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,114.83,0.00,114.83
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363544614,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,181.32,0.00,181.32
Regeneration Economy and Growth,Corporate Property and Land,021324,Catering - Meadowfield,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010363544626,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,106.68,0.00,106.68
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010372059254,AMAZON TP8U75ZL4,5399,Catering costs - provisions,-1.80,0.00,-1.80
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,12-Dec-2024,000010372059562,UBER TRIP,4121,Staff travelling,17.68,0.00,17.68
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030544,Rural Employability - Client Engagement,Supplies and Services,304221,Equipment and Materials,12-Dec-2024,000010372060458,SCREWFIX DIRECT,5211,Direct materials,97.43,0.00,97.43
Regeneration Economy and Growth,Planning & Housing,031639,P&H-Homeless Prevention-Accom Ex Offenders (A.F.O),Supplies and Services,384999,Miscellaneous Expenses,12-Dec-2024,000010372060544,B&Q MARKETPLACE,5211,Other expenses,9.99,0.00,9.99
Neighbourhoods and Climate Change,Environmental Services,011060,C&G - Hardwick Park Catering,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010372373532,BESTWAY WHOLESALE,5300,Catering costs - provisions,154.40,0.00,154.40
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010372373548,BESTWAY WHOLESALE,5300,Catering costs - provisions,130.23,21.71,108.52
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010372373556,BESTWAY WHOLESALE,5300,Catering costs - provisions,16.74,2.79,13.95
Regeneration Economy and Growth,Culture Sport and Tourism,054812,Gala Theatre - Catering etc,Supplies and Services,324117,Provisions E324,12-Dec-2024,000010372373556 - 1,BESTWAY WHOLESALE,5300,Catering costs - provisions,29.12,,29.12
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010363302012,AMZNMktplace E82G07KQ5,5999,Other consumables,4.99,0.83,4.16
Children and Young Peoples Services,Head of Childrens Social Care,085347,Solo Home The Manse,Supplies and Services,308011,Furniture,13-Dec-2024,000010363303434,TecTake Ltd,5712,Furniture repair and replacement,175.99,0.00,175.99
Children and Young Peoples Services,Head of Education and Skills,071903,Early Years Sustainability,Supplies and Services,342033,Computers and Communications,13-Dec-2024,000010363304510,SHUTTERSTOCK IRELAND L,7333,Computer hardware,22.80,0.00,22.80
Children and Young Peoples Services,Head of Education and Skills,071903,Early Years Sustainability,Supplies and Services,342033,Computers and Communications,13-Dec-2024,000010363304524,STK Shutterstock,7333,Computer hardware,22.80,0.00,22.80
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085962,Aycliffe Secure - Durham,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010363305108,AMZNMktplace SF8HG0KN5,5999,Other consumables,57.50,9.58,47.92
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,336005,Advertising E336,13-Dec-2024,000010372058120,LinkedIn Ads 107549535,7311,Advertising other than for staff,61.85,0.00,61.85
Children and Young Peoples Services,Head of Childrens Social Care,085368,Children in Care Team 5,Supplies and Services,338045,Services,13-Dec-2024,000010372058194,HM PASSPORT OFFICE,9399,Legal expenses 338045,57.50,0.00,57.50
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372058206,TESCO STORES 2278,5411,Catering costs - provisions,80.31,0.00,80.31
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,13-Dec-2024,000010372058250,UBER TRIP,4121,Staff travelling,52.97,0.00,52.97
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,13-Dec-2024,000010372058294,HARROWGATE HILL LODGE,7011,Conferencesseminars fees etc,-400.00,0.00,-400.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071447,Peterlee CYPS,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010372058408,AMZNMktplace F11ZT0NQ5,5999,Other consumables,15.95,2.66,13.29
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,071447,Peterlee CYPS,Employees,040149,Recruitment Instruction and Training,13-Dec-2024,000010372058416,LOCAL SKIP,8999,Training-all costs,306.00,0.00,306.00
Neighbourhoods and Climate Change,Environmental Services,010383,C&G - South Street Cleansing,Supplies and Services,304221,Equipment and Materials,13-Dec-2024,000010372058434,S&A BUILDERS MERCHANTS,5211,Direct materials,36.77,0.00,36.77
Regeneration Economy and Growth,Culture Sport and Tourism,030712,VCD - Project Delivery,Supplies and Services,384199,Miscellaneous Expenses,13-Dec-2024,000010372058452,ECARDWIDGET.COM,7379,Other hired and contracted services,67.09,0.00,67.09
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372058558,ASDA SUPERSTORE 4987,5411,Catering costs - provisions,104.22,0.00,104.22
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,304259,Equipment and Materials,13-Dec-2024,000010372058646,Amazon Music II0YV6WF5,5735,Equipment-purchase and rental,17.99,0.00,17.99
Neighbourhoods and Climate Change,Environmental Services,031202,North Pennines - Peatscapes,Supplies and Services,328041,Clothing uniforms and laundry E328,13-Dec-2024,000010372058718,WWW.THEWORKS.CO.UK,5310,Clothing uniforms and laundry,30.00,0.00,30.00
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372058802,TESCO STORES 2916,5411,Catering costs - provisions,89.60,0.00,89.60
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372058854,AMAZON 2M3EE4PP5,5399,Catering costs - provisions,15.99,2.67,13.32
Children and Young Peoples Services,Head of Childrens Social Care,085380,Service Manager CLA Fostering,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372058860,AMAZON 4L5UK75U5,5399,Catering costs - provisions,189.98,31.66,158.32
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059156,TESCO STORES 2916,5411,Catering costs - provisions,92.30,0.00,92.30
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059200,ASDA STORES,5411,Catering costs - provisions,83.41,0.00,83.41
Adult and Health Services,Head of Adults,055302,Durham Pathways,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010372059276,AMZNMktplace UE7WO3GO5,5999,Other consumables,22.31,3.72,18.59
Regeneration Economy and Growth,Culture Sport and Tourism,054813,Gala Theatre - Technical,Supplies and Services,304259,Equipment and Materials,13-Dec-2024,000010372059292,GEAR4MUSIC LIMITED,5733,Equipment-purchase and rental,48.79,0.00,48.79
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059416,774 026,5411,Catering costs - provisions,69.48,0.00,69.48
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,13-Dec-2024,000010372059424,Zettle_ THE WELL,5812,Subsistence,1.80,0.00,1.80
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Transport,235073,Public Transport,13-Dec-2024,000010372059476,UBER TRIP,4121,Travel-clients/students/children,55.98,0.00,55.98
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Transport,235073,Public Transport,13-Dec-2024,000010372059482,UBER TRIP,4121,Travel-clients/students/children,23.93,0.00,23.93
Adult and Health Services,Head of Adults,055807,Newton Aycliffe Pathways,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059490,HOME BARGAINS SPENNYMO,5399,Catering costs - provisions,13.98,0.00,13.98
Neighbourhoods and Climate Change,Environmental Services,010314,Nei.Prot - Bereavement Services,Supplies and Services,304259,Equipment and Materials,13-Dec-2024,000010372059546,DURHAM COUNTY COUNCIL,9399,Equipment-purchase and rental,12.50,0.00,12.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304999,Equipment and Materials,13-Dec-2024,000010372059556,SYLVESTER PROPERTIES,6513,Misc equipment tools and materials,138.46,0.00,138.46
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,13-Dec-2024,000010372059566,UBER TRIP,4121,Staff travelling,27.70,0.00,27.70
Neighbourhoods and Climate Change,Environmental Services,031200,North Pennines Core,Supplies and Services,352001,Conference Expenses,13-Dec-2024,000010372059580,LANGDON BECK HOTEL,7011,Conferencesseminars fees etc,28.00,0.00,28.00
Children and Young Peoples Services,Head of Childrens Social Care,085347,Solo Home The Manse,Supplies and Services,348037,Subsistence E348,13-Dec-2024,000010372059612,The Bishops Lodge,5813,Subsistence,271.50,0.00,271.50
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059636,ICELAND,5411,Catering costs - provisions,37.65,0.00,37.65
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,088105,Bishop Auckland and Willington Family Hubs,Supplies and Services,304259,Equipment and Materials,13-Dec-2024,000010372059678,AMZNMktplace N54306AG5,5999,Equipment-purchase and rental,20.29,3.38,16.91
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,328041,Clothing uniforms and laundry E328,13-Dec-2024,000010372059680,Sports Direct,5655,Clothing uniforms and laundry,144.97,0.00,144.97
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,328041,Clothing uniforms and laundry E328,13-Dec-2024,000010372059686,NikePOS_UK,5655,Clothing uniforms and laundry,58.09,0.00,58.09
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010372059690,SumUp Marvellous Toy,5999,Other consumables,18.99,0.00,18.99
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059696,HOME BARGAINS DURHAM 2,5399,Catering costs - provisions,95.61,0.00,95.61
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304999,Equipment and Materials,13-Dec-2024,000010372059702,SUPERDRUG STORES PLC,5912,Misc equipment tools and materials,11.00,0.00,11.00
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,13-Dec-2024,000010372059710,CARD FACTORY,5947,Other consumables,22.98,0.00,22.98
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059714,ASDA STORES,5411,Catering costs - provisions,27.79,0.00,27.79
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059716,HOME BARGAINS SPENNYMO,5399,Catering costs - provisions,66.25,0.00,66.25
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,348037,Subsistence E348,13-Dec-2024,000010372059720,CLEMS FISH & CHIP REST,5812,Subsistence,33.10,0.00,33.10
Children and Young Peoples Services,Head of Childrens Social Care,085551,Short Break Services-Park Hse Sher,Supplies and Services,324117,Provisions E324,13-Dec-2024,000010372059782,ALDI 774-018,5411,Catering costs - provisions,62.70,0.00,62.70
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,13-Dec-2024,000010372059786,Park Head Hotel,7011,Conferencesseminars fees etc,547.50,0.00,547.50
